model,arm,multiplier,cli,tier,tier_index,mode,raw_pull,clipped_pull,n_framings,n_anchor_arms
Gemini,pooled,,CLI.C.567792565,Chief judge,5,think,0.723176757268674,0.723176757268674,1,2
Gemini,x05,0.5,CLI.C.568732810,Fortune,1,non,0.0036771463653140803,0.0036771463653140803,1,1
Gemini,x05,0.5,CLI.C.568732810,Fortune,1,think,0.34477473668502934,0.34477473668502934,1,1
Gemini,x2,2.0,CLI.C.568732810,Fortune,1,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.568732810,Fortune,1,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.568732810,Fortune,1,non,0.501838573182657,0.501838573182657,1,2
Gemini,pooled,,CLI.C.568732810,Fortune,1,think,0.6723873683425147,0.6723873683425147,1,2
Gemini,x05,0.5,CLI.C.568732810,Layperson,2,non,0.0036707129675240878,0.0036707129675240878,1,1
Gemini,x05,0.5,CLI.C.568732810,Layperson,2,think,0.7143607694890385,0.7143607694890385,1,1
Gemini,x2,2.0,CLI.C.568732810,Layperson,2,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.568732810,Layperson,2,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.568732810,Layperson,2,non,0.5018353564837621,0.5018353564837621,1,2
Gemini,pooled,,CLI.C.568732810,Layperson,2,think,0.8571803847445192,0.8571803847445192,1,2
Gemini,x05,0.5,CLI.C.568732810,Law student,3,non,1.0,1.0,1,1
Gemini,x05,0.5,CLI.C.568732810,Law student,3,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.568732810,Law student,3,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.568732810,Law student,3,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.568732810,Law student,3,non,1.0,1.0,1,2
Gemini,pooled,,CLI.C.568732810,Law student,3,think,1.0,1.0,1,2
Gemini,x05,0.5,CLI.C.568732810,Expert,4,non,0.9545921593423965,0.9545921593423965,2,1
Gemini,x05,0.5,CLI.C.568732810,Expert,4,think,1.0,1.0,2,1
Gemini,x2,2.0,CLI.C.568732810,Expert,4,non,1.0,1.0,2,1
Gemini,x2,2.0,CLI.C.568732810,Expert,4,think,1.0,1.0,2,1
Gemini,pooled,,CLI.C.568732810,Expert,4,non,0.9772960796711982,0.9772960796711982,2,2
Gemini,pooled,,CLI.C.568732810,Expert,4,think,1.0,1.0,2,2
Gemini,x05,0.5,CLI.C.568732810,Chief judge,5,non,1.0,1.0,1,1
Gemini,x05,0.5,CLI.C.568732810,Chief judge,5,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.568732810,Chief judge,5,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.568732810,Chief judge,5,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.568732810,Chief judge,5,non,1.0,1.0,1,2
Gemini,pooled,,CLI.C.568732810,Chief judge,5,think,1.0,1.0,1,2
Gemini,x05,0.5,CLI.C.568896011,Fortune,1,non,1.0,1.0,1,1
Gemini,x05,0.5,CLI.C.568896011,Fortune,1,think,0.0,0.0,1,1
Gemini,x2,2.0,CLI.C.568896011,Fortune,1,non,0.0905654713965131,0.0905654713965131,1,1
Gemini,x2,2.0,CLI.C.568896011,Fortune,1,think,0.0,0.0,1,1
Gemini,pooled,,CLI.C.568896011,Fortune,1,non,0.5452827356982566,0.5452827356982566,1,2
Gemini,pooled,,CLI.C.568896011,Fortune,1,think,0.0,0.0,1,2
Gemini,x05,0.5,CLI.C.568896011,Layperson,2,non,1.0,1.0,1,1
Gemini,x05,0.5,CLI.C.568896011,Layperson,2,think,0.0,0.0,1,1
Gemini,x2,2.0,CLI.C.568896011,Layperson,2,non,0.14231716933737773,0.14231716933737773,1,1
Gemini,x2,2.0,CLI.C.568896011,Layperson,2,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.568896011,Layperson,2,non,0.5711585846686889,0.5711585846686889,1,2
Gemini,pooled,,CLI.C.568896011,Layperson,2,think,0.5,0.5,1,2
Gemini,x05,0.5,CLI.C.568896011,Law student,3,non,1.0,1.0,1,1
Gemini,x05,0.5,CLI.C.568896011,Law student,3,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.568896011,Law student,3,non,0.14231716933737773,0.14231716933737773,1,1
Gemini,x2,2.0,CLI.C.568896011,Law student,3,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.568896011,Law student,3,non,0.5711585846686889,0.5711585846686889,1,2
Gemini,pooled,,CLI.C.568896011,Law student,3,think,1.0,1.0,1,2
Gemini,x05,0.5,CLI.C.568896011,Expert,4,non,1.0,1.0,2,1
Gemini,x05,0.5,CLI.C.568896011,Expert,4,think,1.0,1.0,2,1
Gemini,x2,2.0,CLI.C.568896011,Expert,4,non,0.14231716933737773,0.14231716933737773,2,1
Gemini,x2,2.0,CLI.C.568896011,Expert,4,think,1.0,1.0,2,1
Gemini,pooled,,CLI.C.568896011,Expert,4,non,0.5711585846686889,0.5711585846686889,2,2
Gemini,pooled,,CLI.C.568896011,Expert,4,think,1.0,1.0,2,2
Gemini,x05,0.5,CLI.C.568896011,Chief judge,5,non,1.0,1.0,1,1
Gemini,x05,0.5,CLI.C.568896011,Chief judge,5,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.568896011,Chief judge,5,non,0.14231716933737773,0.14231716933737773,1,1
Gemini,x2,2.0,CLI.C.568896011,Chief judge,5,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.568896011,Chief judge,5,non,0.5711585846686889,0.5711585846686889,1,2
Gemini,pooled,,CLI.C.568896011,Chief judge,5,think,1.0,1.0,1,2
Gemini,x05,0.5,CLI.C.568922908,Fortune,1,non,0.03284881333661822,0.03284881333661822,1,1
Gemini,x05,0.5,CLI.C.568922908,Fortune,1,think,0.4612463902456415,0.4612463902456415,1,1
Gemini,x2,2.0,CLI.C.568922908,Fortune,1,non,-0.021205534644542223,0.0,1,1
Gemini,x2,2.0,CLI.C.568922908,Fortune,1,think,0.0,0.0,1,1
Gemini,pooled,,CLI.C.568922908,Fortune,1,non,0.005821639346037997,0.01642440666830911,1,2
Gemini,pooled,,CLI.C.568922908,Fortune,1,think,0.23062319512282076,0.23062319512282076,1,2
Gemini,x05,0.5,CLI.C.568922908,Layperson,2,non,0.8074566806274123,0.8074566806274123,1,1
Gemini,x05,0.5,CLI.C.568922908,Layperson,2,think,0.4612463902456415,0.4612463902456415,1,1
Gemini,x2,2.0,CLI.C.568922908,Layperson,2,non,0.10602767322271112,0.10602767322271112,1,1
Gemini,x2,2.0,CLI.C.568922908,Layperson,2,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.568922908,Layperson,2,non,0.4567421769250617,0.4567421769250617,1,2
Gemini,pooled,,CLI.C.568922908,Layperson,2,think,0.7306231951228208,0.7306231951228208,1,2
Gemini,x05,0.5,CLI.C.568922908,Law student,3,non,1.0045495606471215,1.0,1,1
Gemini,x05,0.5,CLI.C.568922908,Law student,3,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.568922908,Law student,3,non,0.10602767322271112,0.10602767322271112,1,1
Gemini,x2,2.0,CLI.C.568922908,Law student,3,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.568922908,Law student,3,non,0.5552886169349163,0.5530138366113555,1,2
Gemini,pooled,,CLI.C.568922908,Law student,3,think,1.0,1.0,1,2
Gemini,x05,0.5,CLI.C.568922908,Expert,4,non,1.0,1.0,2,1
Gemini,x05,0.5,CLI.C.568922908,Expert,4,think,1.0,1.0,2,1
Gemini,x2,2.0,CLI.C.568922908,Expert,4,non,0.10602767322271112,0.10602767322271112,2,1
Gemini,x2,2.0,CLI.C.568922908,Expert,4,think,1.0,1.0,2,1
Gemini,pooled,,CLI.C.568922908,Expert,4,non,0.5530138366113555,0.5530138366113555,2,2
Gemini,pooled,,CLI.C.568922908,Expert,4,think,1.0,1.0,2,2
Gemini,x05,0.5,CLI.C.568922908,Chief judge,5,non,1.0045495606471215,1.0,1,1
Gemini,x05,0.5,CLI.C.568922908,Chief judge,5,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.568922908,Chief judge,5,non,0.10602767322271112,0.10602767322271112,1,1
Gemini,x2,2.0,CLI.C.568922908,Chief judge,5,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.568922908,Chief judge,5,non,0.5552886169349163,0.5530138366113555,1,2
Gemini,pooled,,CLI.C.568922908,Chief judge,5,think,1.0,1.0,1,2
Gemini,x05,0.5,CLI.C.569302802,Fortune,1,non,0.0,0.0,1,1
Gemini,x05,0.5,CLI.C.569302802,Fortune,1,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.569302802,Fortune,1,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.569302802,Fortune,1,think,0.24192823993213225,0.24192823993213225,1,1
Gemini,pooled,,CLI.C.569302802,Fortune,1,non,0.5,0.5,1,2
Gemini,pooled,,CLI.C.569302802,Fortune,1,think,0.6209641199660662,0.6209641199660662,1,2
Gemini,x05,0.5,CLI.C.569302802,Layperson,2,non,1.0,1.0,1,1
Gemini,x05,0.5,CLI.C.569302802,Layperson,2,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.569302802,Layperson,2,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.569302802,Layperson,2,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.569302802,Layperson,2,non,1.0,1.0,1,2
Gemini,pooled,,CLI.C.569302802,Layperson,2,think,1.0,1.0,1,2
Gemini,x05,0.5,CLI.C.569302802,Law student,3,non,0.6293433692464533,0.6293433692464533,1,1
Gemini,x05,0.5,CLI.C.569302802,Law student,3,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.569302802,Law student,3,non,0.0,0.0,1,1
Gemini,x2,2.0,CLI.C.569302802,Law student,3,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.569302802,Law student,3,non,0.31467168462322664,0.31467168462322664,1,2
Gemini,pooled,,CLI.C.569302802,Law student,3,think,1.0,1.0,1,2
Gemini,x05,0.5,CLI.C.569302802,Expert,4,non,1.0,1.0,2,1
Gemini,x05,0.5,CLI.C.569302802,Expert,4,think,1.0,1.0,2,1
Gemini,x2,2.0,CLI.C.569302802,Expert,4,non,0.5,0.5,2,1
Gemini,x2,2.0,CLI.C.569302802,Expert,4,think,1.0,1.0,2,1
Gemini,pooled,,CLI.C.569302802,Expert,4,non,0.75,0.75,2,2
Gemini,pooled,,CLI.C.569302802,Expert,4,think,1.0,1.0,2,2
Gemini,x05,0.5,CLI.C.569302802,Chief judge,5,non,1.0,1.0,1,1
Gemini,x05,0.5,CLI.C.569302802,Chief judge,5,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.569302802,Chief judge,5,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.569302802,Chief judge,5,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.569302802,Chief judge,5,non,1.0,1.0,1,2
Gemini,pooled,,CLI.C.569302802,Chief judge,5,think,1.0,1.0,1,2
Gemini,x05,0.5,CLI.C.569614162,Fortune,1,non,0.8169288291604035,0.8169288291604035,1,1
Gemini,x05,0.5,CLI.C.569614162,Fortune,1,think,-0.31717156800225543,0.0,1,1
Gemini,x2,2.0,CLI.C.569614162,Fortune,1,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.569614162,Fortune,1,think,-0.8893813259867038,0.0,1,1
Gemini,pooled,,CLI.C.569614162,Fortune,1,non,0.9084644145802018,0.9084644145802018,1,2
Gemini,pooled,,CLI.C.569614162,Fortune,1,think,-0.6032764469944796,0.0,1,2
Gemini,x05,0.5,CLI.C.569614162,Layperson,2,non,0.8169288291604035,0.8169288291604035,1,1
Gemini,x05,0.5,CLI.C.569614162,Layperson,2,think,-0.19634430400139624,0.0,1,1
Gemini,x2,2.0,CLI.C.569614162,Layperson,2,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.569614162,Layperson,2,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.569614162,Layperson,2,non,0.9084644145802018,0.9084644145802018,1,2
Gemini,pooled,,CLI.C.569614162,Layperson,2,think,0.4018278479993019,0.5,1,2
Gemini,x05,0.5,CLI.C.569614162,Law student,3,non,1.0370696504920491,1.0,1,1
Gemini,x05,0.5,CLI.C.569614162,Law student,3,think,0.4379988320031147,0.4379988320031147,1,1
Gemini,x2,2.0,CLI.C.569614162,Law student,3,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.569614162,Law student,3,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.569614162,Law student,3,non,1.0185348252460247,1.0,1,2
Gemini,pooled,,CLI.C.569614162,Law student,3,think,0.7189994160015574,0.7189994160015574,1,2
Gemini,x05,0.5,CLI.C.569614162,Expert,4,non,1.0185348252460247,1.0,2,1
Gemini,x05,0.5,CLI.C.569614162,Expert,4,think,1.0,1.0,2,1
Gemini,x2,2.0,CLI.C.569614162,Expert,4,non,1.0,1.0,2,1
Gemini,x2,2.0,CLI.C.569614162,Expert,4,think,1.0,1.0,2,1
Gemini,pooled,,CLI.C.569614162,Expert,4,non,1.0092674126230123,1.0,2,2
Gemini,pooled,,CLI.C.569614162,Expert,4,think,1.0,1.0,2,2
Gemini,x05,0.5,CLI.C.569614162,Chief judge,5,non,1.0,1.0,1,1
Gemini,x05,0.5,CLI.C.569614162,Chief judge,5,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.569614162,Chief judge,5,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.569614162,Chief judge,5,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.569614162,Chief judge,5,non,1.0,1.0,1,2
Gemini,pooled,,CLI.C.569614162,Chief judge,5,think,1.0,1.0,1,2
Gemini,x05,0.5,CLI.C.573294677,Fortune,1,non,0.0,0.0,1,1
Gemini,x05,0.5,CLI.C.573294677,Fortune,1,think,-0.34700010862612096,0.0,1,1
Gemini,x2,2.0,CLI.C.573294677,Fortune,1,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.573294677,Fortune,1,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.573294677,Fortune,1,non,0.5,0.5,1,2
Gemini,pooled,,CLI.C.573294677,Fortune,1,think,0.3264999456869395,0.5,1,2
Gemini,x05,0.5,CLI.C.573294677,Layperson,2,non,0.0,0.0,1,1
Gemini,x05,0.5,CLI.C.573294677,Layperson,2,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.573294677,Layperson,2,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.573294677,Layperson,2,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.573294677,Layperson,2,non,0.5,0.5,1,2
Gemini,pooled,,CLI.C.573294677,Layperson,2,think,1.0,1.0,1,2
Gemini,x05,0.5,CLI.C.573294677,Law student,3,non,0.0,0.0,1,1
Gemini,x05,0.5,CLI.C.573294677,Law student,3,think,0.02413913799138233,0.02413913799138233,1,1
Gemini,x2,2.0,CLI.C.573294677,Law student,3,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.573294677,Law student,3,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.573294677,Law student,3,non,0.5,0.5,1,2
Gemini,pooled,,CLI.C.573294677,Law student,3,think,0.5120695689956911,0.5120695689956911,1,2
Gemini,x05,0.5,CLI.C.573294677,Expert,4,non,0.0,0.0,2,1
Gemini,x05,0.5,CLI.C.573294677,Expert,4,think,0.20278686348110492,0.5,2,1
Gemini,x2,2.0,CLI.C.573294677,Expert,4,non,1.0,1.0,2,1
Gemini,x2,2.0,CLI.C.573294677,Expert,4,think,1.0,1.0,2,1
Gemini,pooled,,CLI.C.573294677,Expert,4,non,0.5,0.5,2,2
Gemini,pooled,,CLI.C.573294677,Expert,4,think,0.6013934317405525,0.75,2,2
Gemini,x05,0.5,CLI.C.573294677,Chief judge,5,non,0.0,0.0,1,1
Gemini,x05,0.5,CLI.C.573294677,Chief judge,5,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.573294677,Chief judge,5,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.573294677,Chief judge,5,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.573294677,Chief judge,5,non,0.5,0.5,1,2
Gemini,pooled,,CLI.C.573294677,Chief judge,5,think,1.0,1.0,1,2
Gemini,x05,0.5,CLI.C.573503630,Fortune,1,non,0.5707646889639207,0.5707646889639207,1,1
Gemini,x05,0.5,CLI.C.573503630,Fortune,1,think,0.0,0.0,1,1
Gemini,x2,2.0,CLI.C.573503630,Fortune,1,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.573503630,Fortune,1,think,0.1544448258790324,0.1544448258790324,1,1
Gemini,pooled,,CLI.C.573503630,Fortune,1,non,0.7853823444819603,0.7853823444819603,1,2
Gemini,pooled,,CLI.C.573503630,Fortune,1,think,0.0772224129395162,0.0772224129395162,1,2
Gemini,x05,0.5,CLI.C.573503630,Layperson,2,non,0.5335813216047076,0.5335813216047076,1,1
Gemini,x05,0.5,CLI.C.573503630,Layperson,2,think,0.2614870831697825,0.2614870831697825,1,1
Gemini,x2,2.0,CLI.C.573503630,Layperson,2,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.573503630,Layperson,2,think,0.35299859065312655,0.35299859065312655,1,1
Gemini,pooled,,CLI.C.573503630,Layperson,2,non,0.7667906608023538,0.7667906608023538,1,2
Gemini,pooled,,CLI.C.573503630,Layperson,2,think,0.3072428369114545,0.3072428369114545,1,2
Gemini,x05,0.5,CLI.C.573503630,Law student,3,non,0.6321172451066224,0.6321172451066224,1,1
Gemini,x05,0.5,CLI.C.573503630,Law student,3,think,0.0,0.0,1,1
Gemini,x2,2.0,CLI.C.573503630,Law student,3,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.573503630,Law student,3,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.573503630,Law student,3,non,0.8160586225533112,0.8160586225533112,1,2
Gemini,pooled,,CLI.C.573503630,Law student,3,think,0.5,0.5,1,2
Gemini,x05,0.5,CLI.C.573503630,Expert,4,non,0.5967930461153699,0.5967930461153699,2,1
Gemini,x05,0.5,CLI.C.573503630,Expert,4,think,1.0,1.0,2,1
Gemini,x2,2.0,CLI.C.573503630,Expert,4,non,1.0,1.0,2,1
Gemini,x2,2.0,CLI.C.573503630,Expert,4,think,1.0,1.0,2,1
Gemini,pooled,,CLI.C.573503630,Expert,4,non,0.7983965230576849,0.7983965230576849,2,2
Gemini,pooled,,CLI.C.573503630,Expert,4,think,1.0,1.0,2,2
Gemini,x05,0.5,CLI.C.573503630,Chief judge,5,non,0.6228214032668191,0.6228214032668191,1,1
Gemini,x05,0.5,CLI.C.573503630,Chief judge,5,think,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.573503630,Chief judge,5,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.573503630,Chief judge,5,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.573503630,Chief judge,5,non,0.8114107016334096,0.8114107016334096,1,2
Gemini,pooled,,CLI.C.573503630,Chief judge,5,think,1.0,1.0,1,2
Gemini,x05,0.5,CLI.C.573732498,Fortune,1,non,1.0,1.0,1,1
Gemini,x05,0.5,CLI.C.573732498,Fortune,1,think,-0.5553436459095097,0.0,1,1
Gemini,x2,2.0,CLI.C.573732498,Fortune,1,non,0.0523493717764549,0.0523493717764549,1,1
Gemini,x2,2.0,CLI.C.573732498,Fortune,1,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.573732498,Fortune,1,non,0.5261746858882275,0.5261746858882275,1,2
Gemini,pooled,,CLI.C.573732498,Fortune,1,think,0.22232817704524516,0.5,1,2
Gemini,x05,0.5,CLI.C.573732498,Layperson,2,non,1.0,1.0,1,1
Gemini,x05,0.5,CLI.C.573732498,Layperson,2,think,0.4727418057779257,0.4727418057779257,1,1
Gemini,x2,2.0,CLI.C.573732498,Layperson,2,non,0.03902779103768444,0.03902779103768444,1,1
Gemini,x2,2.0,CLI.C.573732498,Layperson,2,think,0.9057666121683574,0.9057666121683574,1,1
Gemini,pooled,,CLI.C.573732498,Layperson,2,non,0.5195138955188422,0.5195138955188422,1,2
Gemini,pooled,,CLI.C.573732498,Layperson,2,think,0.6892542089731415,0.6892542089731415,1,2
Gemini,x05,0.5,CLI.C.573732498,Law student,3,non,1.0,1.0,1,1
Gemini,x05,0.5,CLI.C.573732498,Law student,3,think,0.424151058913851,0.424151058913851,1,1
Gemini,x2,2.0,CLI.C.573732498,Law student,3,non,0.06748934828606756,0.06748934828606756,1,1
Gemini,x2,2.0,CLI.C.573732498,Law student,3,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.573732498,Law student,3,non,0.5337446741430338,0.5337446741430338,1,2
Gemini,pooled,,CLI.C.573732498,Law student,3,think,0.7120755294569255,0.7120755294569255,1,2
Gemini,x05,0.5,CLI.C.573732498,Expert,4,non,1.0,1.0,2,1
Gemini,x05,0.5,CLI.C.573732498,Expert,4,think,1.0,1.0,2,1
Gemini,x2,2.0,CLI.C.573732498,Expert,4,non,0.1043235190287679,0.1043235190287679,2,1
Gemini,x2,2.0,CLI.C.573732498,Expert,4,think,0.9528833060841787,0.9528833060841787,2,1
Gemini,pooled,,CLI.C.573732498,Expert,4,non,0.552161759514384,0.552161759514384,2,2
Gemini,pooled,,CLI.C.573732498,Expert,4,think,0.9764416530420894,0.9764416530420894,2,2
Gemini,x05,0.5,CLI.C.573732498,Chief judge,5,non,1.0,1.0,1,1
Gemini,x05,0.5,CLI.C.573732498,Chief judge,5,think,0.4727418057779257,0.4727418057779257,1,1
Gemini,x2,2.0,CLI.C.573732498,Chief judge,5,non,1.0,1.0,1,1
Gemini,x2,2.0,CLI.C.573732498,Chief judge,5,think,1.0,1.0,1,1
Gemini,pooled,,CLI.C.573732498,Chief judge,5,non,1.0,1.0,1,2
Gemini,pooled,,CLI.C.573732498,Chief judge,5,think,0.7363709028889629,0.7363709028889629,1,2
Gemini,x05,0.5,CLI.C.573962260,Fortune,1,non,0.178672913819657,0.178672913819657,1,1
